Season,Name,Team,wRCplus,TTO,playerid,new_TTO
2021,Jeimer Candelario,DET,120,34.5%,13621,3450
2022,Jeimer Candelario,DET,80,32.1%,13621,3210
2021,Jesse Winker,CIN,147,31.3%,13590,3130
2022,Jesse Winker,SEA,108,36.7%,13590,3670.0000000000005
2021,Jesus Aguilar,MIA,111,31.6%,11342,3160
2022,Jesus Aguilar,- - -,86,32.1%,11342,3210
2021,Ji-Man Choi,TBR,117,46.9%,5452,4690
2022,Ji-Man Choi,TBR,116,45.8%,5452,4580
2022,Joc Pederson,SFG,144,38.1%,11899,3810
2021,Joc Pederson,- - -,96,36.2%,11899,3620.0000000000005
2021,Joey Gallo,- - -,122,58.8%,14128,5880
2022,Joey Gallo,- - -,85,58.0%,14128,5800
2021,Joey Votto,CIN,139,45.0%,4314,4500
2022,Joey Votto,CIN,92,40.4%,4314,4040
2021,Joey Wendle,TBR,105,30.3%,13853,3030
2022,Joey Wendle,MIA,87,18.3%,13853,1830
2021,Jonathan India,CIN,120,36.9%,21523,3690
2022,Jonathan India,CIN,95,31.3%,21523,3130
2021,Jonathan Schoop,DET,107,28.5%,11265,2850
2022,Jonathan Schoop,DET,57,26.9%,11265,2690
2021,Jorge Polanco,MIN,124,30.4%,13152,3040
2022,Jorge Polanco,MIN,119,39.3%,13152,3929.9999999999995
2021,Jorge Soler,- - -,100,39.2%,14221,3920.0000000000005
2022,Jorge Soler,MIA,98,43.8%,14221,4380
2022,Jose Abreu,CHW,137,27.5%,15676,2750
2021,Jose Abreu,CHW,125,35.5%,15676,3550
2022,Jose Altuve,HOU,164,30.0%,5417,3000
2021,Jose Altuve,HOU,128,27.7%,5417,2770
2022,Jose Iglesias,COL,85,16.3%,10231,1630
2021,Jose Iglesias,- - -,90,20.5%,10231,2050
2021,Jose Ramirez,CLE,138,30.7%,13510,3070
2022,Jose Ramirez,CLE,139,26.3%,13510,2630
2022,Jose Trevino,NYY,91,24.9%,16725,2490
2021,Jose Trevino,TEX,63,24.5%,16725,2450
2021,Josh Bell,WSN,119,34.0%,13145,3400
2022,Josh Bell,- - -,123,30.9%,13145,3090
2021,Josh Donaldson,MIN,126,39.4%,5038,3940
2022,Josh Donaldson,NYY,97,39.7%,5038,3970.0000000000005
2021,Josh Harrison,- - -,104,20.4%,8202,2039.9999999999998
2022,Josh Harrison,CHW,98,23.3%,8202,2330
2021,Josh Rojas,ARI,102,37.5%,19734,3750
2022,Josh Rojas,ARI,108,31.8%,19734,3180
